scheme,measure,grid_500,grid_1000,grid_2000,grid_4000,postcodes
All,count,36600,9340,2418,637,2567
All,area_covered,99.89461453267441,99.96852768324761,99.97933469014562,99.9560194797294,81.94533072016625
All,pop_covered,97.2973246844609,97.29770705063947,97.29770730415838,97.29770715005864,96.83524786842786
All,pop_covered_blocks,99.99960699886672,99.99999998467295,100.00000024523294,100.00000008685335,99.52469671580964
Selected,count,13297,3972,1264,413,2377
Selected,area_mean,0.21643662798796956,0.8644640054913336,3.444835128518096,13.54965595824374,1.9411531881645268
Selected,pop_mean,1498.1345311136624,5093.21396226906,16324.624958298582,50187.758864102565,8317.753418018787
Selected,dwellings_mean,458.50672101033297,1558.7863897996358,4996.179129274396,15360.048702564103,2544.9278988044407
